Month,Ticker,Monthly_Return
2023-10,ADANIENT,-3.878940203162631
2023-10,ADANIPORTS,-5.611017560740916
2023-10,APOLLOHOSP,-5.842018382676138
2023-10,ASIANPAINT,-5.404423954402643
2023-10,AXISBANK,-5.686566447336817
2023-10,BAJAJ-AUTO,5.932482133779872
2023-10,BAJAJFINSV,0.5445053009192531
2023-10,BAJFINANCE,-5.961017119333309
2023-10,BEL,-4.274425287356314
2023-10,BHARTIARTL,-1.1779963255160464
2023-10,BPCL,2.3142723224747996
2023-10,BRITANNIA,-1.5337730371820357
2023-10,CIPLA,1.4541765302671665
2023-10,COALINDIA,7.65673175745119
2023-10,DRREDDY,-1.7238222531446186
2023-10,EICHERMOT,-1.6664677448230563
2023-10,GRASIM,-1.808406136354131
2023-10,HCLTECH,3.011221441834177
2023-10,HDFCBANK,-2.0921056994131466
2023-10,HDFCLIFE,-2.3991792281587774
2023-10,HEROMOTOCO,2.412455232789495
2023-10,HINDALCO,-4.260860506302738
2023-10,HINDUNILVR,0.6116084086030179
2023-10,ICICIBANK,-2.6534084866531886
2023-10,INDUSINDBK,0.41103525149783077
2023-10,INFY,-4.57461645746164
2023-10,ITC,-2.5810119386014834
2023-10,JSWSTEEL,-4.40116845180136
2023-10,KOTAKBANK,0.7150922092585702
2023-10,LT,-4.692101195802483
2023-10,M&M,-5.125536620267996
2023-10,MARUTI,0.43877876465414406
2023-10,NESTLEIND,8.602208360220837
2023-10,NTPC,-2.2388059701492447
2023-10,ONGC,0.839653304442043
2023-10,POWERGRID,1.3029315960912022
2023-10,RELIANCE,-1.3053456189391486
2023-10,SBILIFE,5.833881388061423
2023-10,SBIN,-6.202836056057731
2023-10,SHRIRAMFIN,-2.1904836234033214
2023-10,SUNPHARMA,-4.630075780805129
2023-10,TATACONSUM,3.279145378541571
2023-10,TATAMOTORS,1.321621403819797
2023-10,TATASTEEL,-7.2265625
2023-10,TCS,-4.1293737638203085
2023-10,TECHM,-6.828646604176941
2023-10,TITAN,-0.2064919827923319
2023-10,TRENT,4.642805109028212
2023-10,ULTRACEMCO,1.4130212284314123
2023-10,WIPRO,-5.83302503391293
2023-11,ADANIENT,6.370360348171198
2023-11,ADANIPORTS,7.333246651930825
2023-11,APOLLOHOSP,15.269308148565106
2023-11,ASIANPAINT,6.316130241433947
2023-11,AXISBANK,10.542292652809225
2023-11,BAJAJ-AUTO,13.962408899117756
2023-11,BAJAJFINSV,6.399211622214458
2023-11,BAJFINANCE,-4.684216865857413
2023-11,BEL,10.196374622356496
2023-11,BHARTIARTL,11.084350539164705
2023-11,BPCL,22.07901372933595
2023-11,BRITANNIA,10.35521797466626
2023-11,CIPLA,0.919875130072837
2023-11,COALINDIA,11.576716125876407
2023-11,DRREDDY,8.261556733907561
2023-11,EICHERMOT,18.72648335745297
2023-11,GRASIM,7.32665287591005
2023-11,HCLTECH,6.509392747924861
2023-11,HDFCBANK,5.717192268565612
2023-11,HDFCLIFE,11.402306265623748
2023-11,HEROMOTOCO,23.495933644844715
2023-11,HINDALCO,11.443700021612274
2023-11,HINDUNILVR,2.964910506623528
2023-11,ICICIBANK,2.286526995240971
2023-11,INDUSINDBK,2.338405695937457
2023-11,INFY,7.458553336041058
2023-11,ITC,1.7986451763606606
2023-11,JSWSTEEL,10.580440334046514
2023-11,KOTAKBANK,1.8006263048016675
2023-11,LT,7.387835457465535
2023-11,M&M,13.27856455382924
2023-11,MARUTI,3.724163554234552
2023-11,NESTLEIND,1.5222408860330061
2023-11,NTPC,12.338779019776448
2023-11,ONGC,4.418853776111408
2023-11,POWERGRID,3.9810898233391394
2023-11,RELIANCE,3.4839383651083815
2023-11,SBILIFE,7.424871823659298
2023-11,SBIN,-0.2913135593220299
2023-11,SHRIRAMFIN,5.517150742541729
2023-11,SUNPHARMA,9.82350833184016
2023-11,TATACONSUM,4.163397080913851
2023-11,TATAMOTORS,12.537836546120745
2023-11,TATASTEEL,9.691252144082343
2023-11,TCS,4.712293396183923
2023-11,TECHM,8.519242733979214
2023-11,TITAN,9.995588327976296
2023-11,TRENT,26.817282096785195
2023-11,ULTRACEMCO,7.4235365002475575
2023-11,WIPRO,8.42630266439166
2023-12,ADANIENT,20.580268337071995
2023-12,ADANIPORTS,23.74365788837883
2023-12,APOLLOHOSP,2.0201568550298368
2023-12,ASIANPAINT,7.216234953047204
2023-12,AXISBANK,-0.21273706603902923
2023-12,BAJAJ-AUTO,12.424640881236506
2023-12,BAJAJFINSV,-0.008897061004187013
2023-12,BAJFINANCE,0.9422331200451781
2023-12,BEL,24.923702950152595
2023-12,BHARTIARTL,1.7246476791169802
2023-12,BPCL,2.8904109589041154
2023-12,BRITANNIA,7.397274053211282
2023-12,CIPLA,3.3673384755743476
2023-12,COALINDIA,8.466753209288916
2023-12,DRREDDY,0.8435662851775678
2023-12,EICHERMOT,6.483861019736848
2023-12,GRASIM,5.890232910207312
2023-12,HCLTECH,9.68055659459863
2023-12,HDFCBANK,9.891346277484885
2023-12,HDFCLIFE,-5.19680422194531
2023-12,HEROMOTOCO,10.094414893617026
2023-12,HINDALCO,18.88051044083526
2023-12,HINDUNILVR,3.9123905369297574
2023-12,ICICIBANK,5.270941164043517
2023-12,INDUSINDBK,9.438417576400541
2023-12,INFY,6.238380499896725
2023-12,ITC,2.7345486883059165
2023-12,JSWSTEEL,8.565614208189448
2023-12,KOTAKBANK,9.003141959440155
2023-12,LT,10.510397567893687
2023-12,M&M,6.391879421716401
2023-12,MARUTI,-2.677196595407025
2023-12,NESTLEIND,9.210472253950517
2023-12,NTPC,15.690648819483172
2023-12,ONGC,5.397070161912104
2023-12,POWERGRID,12.844909609895339
2023-12,RELIANCE,7.962243662030651
2023-12,SBILIFE,0.6286657535208666
2023-12,SBIN,12.295583734149533
2023-12,SHRIRAMFIN,2.4984400349432265
2023-12,SUNPHARMA,2.2903553299492425
2023-12,TATACONSUM,15.268396920334604
2023-12,TATAMOTORS,10.560635055638244
2023-12,TATASTEEL,7.38461538461538
2023-12,TCS,8.023293893184116
2023-12,TECHM,4.268567449100827
2023-12,TITAN,5.328843673878774
2023-12,TRENT,8.806140257149982
2023-12,ULTRACEMCO,16.262722980788915
2023-12,WIPRO,15.61388445970809
2024-01,ADANIENT,7.70601947072536
2024-01,ADANIPORTS,15.250274371331793
2024-01,APOLLOHOSP,10.485126216293764
2024-01,ASIANPAINT,-12.904508112246402
2024-01,AXISBANK,-2.7284321763687753
2024-01,BAJAJ-AUTO,14.422259032099205
2024-01,BAJAJFINSV,-2.9288952517299056
2024-01,BAJFINANCE,-5.975435159370062
2024-01,BEL,0.513652338469866
2024-01,BHARTIARTL,15.56191698336707
2024-01,BPCL,11.126841569703139
2024-01,BRITANNIA,-2.2820406782209957
2024-01,CIPLA,7.993605115907274
2024-01,COALINDIA,6.3776846516500685
2024-01,DRREDDY,5.1445895922977245
2024-01,EICHERMOT,-4.921564500352868
2024-01,GRASIM,2.648569055349991
2024-01,HCLTECH,6.217354675652906
2024-01,HDFCBANK,-13.871385666332959
2024-01,HDFCLIFE,-11.114536765839373
2024-01,HEROMOTOCO,12.21303614136043
2024-01,HINDALCO,-5.086828309305366
2024-01,HINDUNILVR,-6.524154816837736
2024-01,ICICIBANK,2.876726035621384
2024-01,INDUSINDBK,-4.052913031241203
2024-01,INFY,7.061591517065794
2024-01,ITC,-5.661788270483922
2024-01,JSWSTEEL,-6.717183226982685
2024-01,KOTAKBANK,-4.394625880627509
2024-01,LT,-1.2962884170815023
2024-01,M&M,-3.0382199260259495
2024-01,MARUTI,-0.9374422607528677
2024-01,NESTLEIND,-8.447925647732745
2024-01,NTPC,2.5020177562550443
2024-01,ONGC,22.83905527148771
2024-01,POWERGRID,8.835257082896122
2024-01,RELIANCE,10.153420892111216
2024-01,SBILIFE,-2.161161930032806
2024-01,SBIN,-0.13253293833320692
2024-01,SHRIRAMFIN,20.399248358835457
2024-01,SUNPHARMA,12.553064868081734
2024-01,TATACONSUM,3.508492369989883
2024-01,TATAMOTORS,11.839109537060462
2024-01,TATASTEEL,-2.78870218090812
2024-01,TCS,0.1272598462386164
2024-01,TECHM,2.813861157152218
2024-01,TITAN,0.5547774771222304
2024-01,TRENT,2.826354884913891
2024-01,ULTRACEMCO,-2.8354357798165206
2024-01,WIPRO,0.2095777009326208
2024-02,ADANIENT,4.182654193752976
2024-02,ADANIPORTS,8.33982852689011
2024-02,APOLLOHOSP,-2.9636049904976893
2024-02,ASIANPAINT,-3.6680492259374886
2024-02,AXISBANK,-0.8439013142725471
2024-02,BAJAJ-AUTO,3.3125428599418782
2024-02,BAJAJFINSV,-1.7537370935429217
2024-02,BAJFINANCE,-3.676983079501132
2024-02,BEL,11.832061068702284
2024-02,BHARTIARTL,-2.419214732453104
2024-02,BPCL,18.762537859418643
2024-02,BRITANNIA,-3.562133395486162
2024-02,CIPLA,6.680358880121054
2024-02,COALINDIA,7.376444553725105
2024-02,DRREDDY,7.193212250652811
2024-02,EICHERMOT,-3.5797823655039087
2024-02,GRASIM,2.9502959691816306
2024-02,HCLTECH,5.480537593508293
2024-02,HDFCBANK,-4.29297234630203
2024-02,HDFCLIFE,-0.868676545733269
2024-02,HEROMOTOCO,-3.4927071750932
2024-02,HINDALCO,-11.798687089715532
2024-02,HINDUNILVR,-2.4781694695989542
2024-02,ICICIBANK,2.6386382480612545
2024-02,INDUSINDBK,-4.298737955422898
2024-02,INFY,1.0168673244621549
2024-02,ITC,-8.263716414540522
2024-02,JSWSTEEL,-0.19957590120993174
2024-02,KOTAKBANK,-7.313125771499106
2024-02,LT,2.3410829899941197
2024-02,M&M,17.03358265451352
2024-02,MARUTI,6.113461176912957
2024-02,NESTLEIND,5.203014831023569
2024-02,NTPC,4.223602484472057
2024-02,ONGC,6.844336765596615
2024-02,POWERGRID,6.4145974416854825
2024-02,RELIANCE,2.3937195527985042
2024-02,SBILIFE,8.361542488221946
2024-02,SBIN,15.509920481741691
2024-02,SHRIRAMFIN,1.7270148506591063
2024-02,SUNPHARMA,12.074292410952093
2024-02,TATACONSUM,5.346932190933704
2024-02,TATAMOTORS,8.161639157655099
2024-02,TATASTEEL,4.488130563798206
2024-02,TCS,6.251702710065768
2024-02,TECHM,-2.944761904761912
2024-02,TITAN,-0.08408110380569621
2024-02,TRENT,25.10635554982596
2024-02,ULTRACEMCO,-0.3013414228555843
2024-02,WIPRO,10.024398005728226
2024-03,ADANIENT,-3.6655367231638447
2024-03,ADANIPORTS,1.493835564632025
2024-03,APOLLOHOSP,4.459854734282062
2024-03,ASIANPAINT,0.5297077778758718
2024-03,AXISBANK,-4.735046622697289
2024-03,BAJAJ-AUTO,13.782252597931599
2024-03,BAJAJFINSV,1.8873187058385903
2024-03,BAJFINANCE,10.253444825723397
2024-03,BEL,-1.994163424124511
2024-03,BHARTIARTL,8.85089040489057
2024-03,BPCL,-3.353120487726613
2024-03,BRITANNIA,-0.33382714045091666
2024-03,CIPLA,1.771024542796924
2024-03,COALINDIA,-2.7444830290131064
2024-03,DRREDDY,-0.5755988084378191
2024-03,EICHERMOT,4.57259564725319
2024-03,GRASIM,1.4368708146702776
2024-03,HCLTECH,-6.115808040873424
2024-03,HDFCBANK,1.198672025161635
2024-03,HDFCLIFE,7.356555640308496
2024-03,HEROMOTOCO,4.774688824299434
2024-03,HINDALCO,7.92718166056636
2024-03,HINDUNILVR,-6.031871187284721
2024-03,ICICIBANK,0.5888306191921854
2024-03,INDUSINDBK,1.7260013755608625
2024-03,INFY,-9.46697286517194
2024-03,ITC,4.603174603174609
2024-03,JSWSTEEL,-0.7175316909830184
2024-03,KOTAKBANK,3.34548822133472
2024-03,LT,3.588826200633001
2024-03,M&M,-2.6153729187257726
2024-03,MARUTI,8.427882402041137
2024-03,NESTLEIND,0.8033981049030384
2024-03,NTPC,-2.241630276564771
2024-03,ONGC,-0.9240436148586212
2024-03,POWERGRID,-3.7539103232533932
2024-03,RELIANCE,-0.42087485674842
2024-03,SBILIFE,-2.7169860260026644
2024-03,SBIN,-2.1842293440811225
2024-03,SHRIRAMFIN,-3.699320532963319
2024-03,SUNPHARMA,3.931377264710595
2024-03,TATACONSUM,-8.726586077251191
2024-03,TATAMOTORS,1.5756087579291977
2024-03,TATASTEEL,3.934644881627213
2024-03,TCS,-5.325631663145548
2024-03,TECHM,-1.86350055040101
2024-03,TITAN,0.9532913778910775
2024-03,TRENT,1.1983338673502082
2024-03,ULTRACEMCO,-3.811849440086827
2024-03,WIPRO,-7.513003274898863
2024-04,ADANIENT,-6.0699240490759845
2024-04,ADANIPORTS,-3.706664728541318
