sector,Yearly_Return
ALUMINIUM,35.86831961662674
AUTOMOBILES,54.526537075105274
BANKING,11.380534233917365
CEMENT,36.970944863875545
DEFENCE,101.7600574712644
ENERGY,36.564787601839285
ENGINEERING,17.253721630196047
FINANCE,11.576063201001446
FMCG,-0.9579164810239414
FOOD & TOBACCO,4.321734389748768
INSURANCE,11.767832027533359
MINING,41.846522781774596
MISCELLANEOUS,36.10308138286015
PAINTS,-21.93504586576567
PHARMACEUTICALS,31.37917300152913
POWER,60.18409528819611
RETAILING,113.30539932556509
SOFTWARE,38.27595416662726
STEEL,19.21712461457319
TEXTILES,35.781988044977645
